condition,t_t_sub,t_d1_sub,t_d2_sub,t_t_basic,t_d1_basic,t_d2_basic,t_t_super,t_d1_super,t_d2_super,length_sub,length_sub_label,length_basic,length_basic_label,length_super,length_super_label,p_s_sub,p_s_basic,p_s_super
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,3,LOW,7.029412,MED,0.1043787328,0.8924288202,0.003192447
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,3,LOW,7.029412,MED,0.0986092818,0.8812933957,0.0200973225
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,3,LOW,7.029412,MED,0.0800475923,0.7485900869,0.1713623208
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,3,LOW,13.13,HIGH,0.4649700326,0.529738764,0.0052912034
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,3,LOW,13.13,HIGH,0.1046386632,0.8946512014,0.0007101354
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,3,LOW,13.13,HIGH,0.1001758246,0.8952939416,0.0045302339
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,3,LOW,13.13,HIGH,0.0923631864,0.863763215,0.0438735986
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,7.029412,MED,7.029412,MED,0.4389951918,0.5001457169,0.0608590913
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,7.029412,MED,7.029412,MED,0.1038142653,0.8876026736,0.0085830611
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,7.029412,MED,7.029412,MED,0.095345678,0.8521258326,0.0525284894
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,7.029412,MED,7.029412,MED,0.0619630883,0.5794671931,0.3585697186
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,13.13,HIGH,13.13,HIGH,0.9050602455,0.0846404716,0.0102992828
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,13.13,HIGH,13.13,HIGH,0.5852724599,0.4107555601,0.00397198
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,13.13,HIGH,13.13,HIGH,0.562165695,0.4124115838,0.0254227212
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,13.13,HIGH,13.13,HIGH,0.4459000055,0.3422922537,0.2118077409
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,7.029412,MED,3,LOW,0.6409847845,0.2701537604,0.0888614551
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,7.029412,MED,3,LOW,0.2355381846,0.7449882044,0.019473611
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,7.029412,MED,3,LOW,0.2058829998,0.6806905377,0.1134264625
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,7.029412,MED,3,LOW,0.0975952606,0.3376377771,0.5647669623
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,13.13,HIGH,3,LOW,0.8115882707,0.0758990513,0.112512678
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,13.13,HIGH,3,LOW,0.5603821657,0.3932870691,0.0463307652
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,13.13,HIGH,3,LOW,0.4377250823,0.3211204384,0.2411544793
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,13.13,HIGH,3,LOW,0.1323719376,0.1016144613,0.7660136012
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,7.029412,MED,13.13,HIGH,0.4649700326,0.529738764,0.0052912034
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,7.029412,MED,13.13,HIGH,0.1046386632,0.8946512014,0.0007101354
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,7.029412,MED,13.13,HIGH,0.1001758246,0.8952939416,0.0045302339
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,7.029412,MED,13.13,HIGH,0.0923631864,0.863763215,0.0438735986
item12,0.9369443,0.2646565,0.04424588,0.8803017,0.861241,0.06146359,0.8244489,0.8160308,0.8028321,13.13,HIGH,13.13,HIGH,7.029412,MED,0.8115882707,0.0758990513,0.112512678
item22,0.9369443,0.04424588,0.04424588,0.8803017,0.06146359,0.06146359,0.8244489,0.8028321,0.8028321,13.13,HIGH,13.13,HIGH,7.029412,MED,0.5603821657,0.3932870691,0.0463307652
item23,0.9369443,0.04424588,0,0.8803017,0.06146359,0,0.8244489,0.8028321,0.04304787,13.13,HIGH,13.13,HIGH,7.029412,MED,0.4377250823,0.3211204384,0.2411544793
item33,0.9369443,0,0,0.8803017,0,0,0.8244489,0.04304787,0.04304787,13.13,HIGH,13.13,HIGH,7.029412,MED,0.1323719376,0.1016144613,0.7660136012
