"","gameid","time","roundNum","trialType","context","nameClickedObj","targetStatusClickedObj","spLocsClickedObj","lisLocsClickedObj","alt1Name","alt1TargetStatus","alt1SpLocs","alt1LisLocs","alt2Name","alt2TargetStatus","alt2SpLocs","alt2LisLocs","numMessages","numSMessages","numLMessages","speakerMessages","listenerMessages","messageTimeStamps","refExp","colorMentioned","typeMentioned","clickedType","clickedColor","NormedTypicality","binaryTypicality","ColorMentioned","CleanedResponse","ItemMentioned","CatMentioned","UtteranceType","Color","ColorAndType","Type","ColorAndCat","Cat","Other","Item","Half"
"102","4041-d",1479400246361,39,"avocado","overinformative-cc","avocado_red","target",3,2,"cup_red","distractor",2,4,"pear_orange","distractor",4,3,1,1,0,"avacado","","1479400245039","avacado","False","False","avocado","red",0.33037037037037,"atypical",FALSE,"avocado",TRUE,FALSE,"type",0,0,1,0,0,0,"avocado",2
"103","4041-d",1479400251112,40,"pepper","overinformative","pepper_green","target",2,3,"tomato_pink","distractor",4,4,"apple_red","distractor",3,2,1,1,0,"green","","1479400250122","green","True","False","pepper","green",0.9128,"typical",TRUE,"green",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"104","4041-d",1479400256034,41,"avocado","overinformative","avocado_black","target",3,2,"apple_blue","distractor",2,3,"carrot_pink","distractor",4,4,1,1,0,"black","","1479400254693","black","True","False","avocado","black",0.556666666666667,"typical",TRUE,"black",FALSE,FALSE,"color",1,0,0,0,0,0,"avocado",2
"105","4041-d",1479400264327,42,"tomato","informative","tomato_pink","target",3,3,"pear_orange","distractor",4,4,"tomato_green","distractor",2,2,1,1,0,"purple","","1479400259468","purple","False","False","tomato","pink",0.0408,"atypical",TRUE,"purple",FALSE,FALSE,"color",1,0,0,0,0,0,"tomato",2
"106","4041-d",1479400269531,43,"carrot","overinformative","carrot_orange","target",2,4,"apple_blue","distractor",3,3,"apple_green","distractor",4,2,1,1,0,"carrot","","1479400268162","carrot","False","True","carrot","orange",0.952173913043478,"typical",FALSE,"carrot",TRUE,FALSE,"type",0,0,1,0,0,0,"carrot",2
"107","4041-d",1479400275024,44,"pear","overinformative-cc","pear_orange","target",3,3,"cup_orange","distractor",4,4,"carrot_purple","distractor",2,2,1,1,0,"pear","","1479400273831","pear","False","True","pear","orange",0.193103448275862,"atypical",FALSE,"pear",TRUE,FALSE,"type",0,0,1,0,0,0,"pear",2
"108","4041-d",1479400288863,45,"carrot","informative","carrot_pink","target",2,4,"apple_red","distractor",3,3,"carrot_orange","distractor",4,2,1,1,0,"purple","","1479400279681","purple","False","False","carrot","pink",0.0828571428571429,"atypical",TRUE,"purple",FALSE,FALSE,"color",1,0,0,0,0,0,"carrot",2
"109","4041-d",1479400294852,46,"pepper","overinformative-cc","pepper_orange","target",2,2,"banana_yellow","distractor",3,4,"cup_orange","distractor",4,3,1,1,0,"pepper","","1479400293322","pepper","False","True","pepper","orange",0.514074074074074,"typical",FALSE,"pepper",TRUE,FALSE,"type",0,0,1,0,0,0,"pepper",2
"110","4041-d",1479400301265,47,"pepper","informative","pepper_orange","target",3,2,"pear_green","distractor",2,4,"pepper_green","distractor",4,3,1,1,0,"orange ","","1479400299972","orange ","True","False","pepper","orange",0.514074074074074,"typical",TRUE,"orange ",FALSE,FALSE,"color",1,0,0,0,0,0,"pepper",2
"111","4041-d",1479400309064,48,"banana","informative","banana_yellow","target",4,2,"carrot_orange","distractor",3,4,"banana_brown","distractor",2,3,1,1,0,"yellow","","1479400307651","yellow","True","False","banana","yellow",0.961481481481481,"typical",TRUE,"yellow",FALSE,FALSE,"color",1,0,0,0,0,0,"banana",2
