BDAFullColor,BDASize,condition,OtherColor,Item
black,size,color21,blue,comb
pink,size,size33,white,teacup
red,size,color43,blue,tack
green,size,color21,blue,guitar
black,size,color42,brown,turtle
blue,size,color22,orange,cap
green,size,size43,purple,bracelet
red,size,color21,purple,yarn
yellow,size,size31,white,shoe
green,size,size22,red,chair
red,size,size42,green,pepper
red,size,color32,blue,candle
purple,size,color43,red,flower
pink,size,color22,blue,golfball
black,size,color41,brown,belt
blue,size,color41,green,binder
blue,size,color44,black,book
green,size,size32,brown,jacket
red,size,color31,purple,bike
purple,size,color33,pink,hairdryer
pink,size,size22,white,phone
red,size,size33,blue,candle
orange,size,size43,yellow,napkin
red,size,color43,purple,stapler
pink,size,color33,red,bucket
red,size,color41,purple,yarn
green,size,size42,blue,binder
white,size,size32,pink,weddingcake
pink,size,size31,yellow,balloon
purple,size,size44,blue,rug
green,size,size22,red,pepper
purple,size,color41,green,rock
white,size,color42,pink,teacup
pink,size,color31,blue,golfball
pink,size,color31,white,phone
green,size,size21,brown,jacket
blue,size,size44,black,comb
yellow,size,size21,white,shoe
pink,size,size41,purple,hairdryer
purple,size,size43,pink,hairdryer
brown,size,color42,black,turtle
brown,size,color41,green,jacket
purple,size,color21,red,flower
blue,size,color43,purple,ornament
blue,size,color43,orange,cushion
red,size,size21,purple,stapler
pink,size,color44,green,framee
pink,size,color21,white,weddingcake
red,size,color33,blue,candle
blue,size,size42,green,binder
pink,size,color32,white,phone
blue,size,color22,purple,butterfly
green,size,size42,red,pepper
black,size,color33,green,avocado
orange,size,color31,purple,billiardball
orange,size,size32,purple,coathanger
red,size,size31,pink,bucket
yellow,size,size22,pink,balloon
orange,size,color21,purple,billiardball
blue,size,size31,orange,cap
purple,size,color44,green,bracelet
purple,size,size44,red,flower
brown,size,size32,black,turtle
yellow,size,size42,orange,napkin
purple,size,color42,pink,hairdryer
blue,size,color33,red,toothbrush
red,size,color41,purple,bike
orange,size,size44,purple,coathanger
purple,size,color44,red,flower
pink,size,size31,green,framee
purple,size,color42,blue,ornament
brown,size,color33,black,turtle
blue,size,color43,pink,golfball
blue,size,size31,red,candle
blue,size,size42,green,guitar
green,size,color22,red,chair
red,size,size41,purple,stapler
green,size,color31,blue,guitar
purple,size,color43,orange,coathanger
black,size,color44,brown,turtle
pink,size,color33,white,weddingcake
black,size,color21,brown,belt
blue,size,size41,purple,butterfly
orange,size,size21,blue,cap
pink,size,size22,blue,golfball
red,size,color43,blue,candle
black,size,color22,blue,book
blue,size,size21,purple,rug
brown,size,size31,black,belt
black,size,size21,green,avocado
yellow,size,size44,pink,balloon
purple,size,color31,green,bracelet
red,size,size33,green,pepper
purple,size,size32,orange,billiardball
purple,size,size41,red,stapler
purple,size,color31,orange,billiardball
black,size,size32,blue,book
pink,size,color21,red,bucket
yellow,size,color41,pink,balloon
blue,size,size43,purple,ornament
pink,size,color22,white,phone
red,size,color44,purple,yarn
blue,size,size21,purple,butterfly
pink,size,size31,blue,golfball
pink,size,size32,green,framee
red,size,color33,blue,tack
orange,size,size31,blue,cap
blue,size,color22,pink,golfball
purple,size,size22,blue,ornament
yellow,size,color43,orange,napkin
red,size,color31,blue,tack
blue,size,color41,purple,ornament
pink,size,color43,white,weddingcake
purple,size,color32,red,bike
blue,size,color21,red,tack
red,size,color33,green,chair
brown,size,color44,black,turtle
yellow,size,size41,orange,napkin
green,size,size33,black,avocado
blue,size,color41,black,book
black,size,size44,blue,comb
red,size,size43,blue,candle
green,size,size22,blue,guitar
blue,size,size22,purple,rug
brown,size,color31,green,jacket
green,size,size31,blue,binder
red,size,color22,green,pepper
blue,size,size32,red,candle
pink,size,color41,yellow,balloon
green,size,size32,pink,framee
pink,size,color44,white,phone
orange,size,size21,purple,billiardball
green,size,size43,purple,rock
orange,size,color32,blue,cushion
orange,size,size42,purple,coathanger
green,size,color22,purple,rock
black,size,color41,green,avocado
yellow,size,size32,pink,balloon
red,size,size22,green,pepper
blue,size,color21,green,binder
black,size,color42,brown,belt
green,size,size21,blue,guitar
blue,size,color32,orange,cushion
red,size,size42,green,chair
yellow,size,color32,orange,napkin
orange,size,color42,purple,billiardball
black,size,color43,brown,turtle
blue,size,size44,purple,butterfly
yellow,size,color41,white,shoe
blue,size,size33,red,toothbrush
white,size,size41,pink,teacup
purple,size,size21,blue,butterfly
pink,size,color42,yellow,balloon
red,size,size43,pink,bucket
red,size,size31,purple,bike
purple,size,size33,pink,hairdryer
blue,size,color31,red,candle
blue,size,color41,pink,golfball
green,size,color33,red,chair
white,size,size41,pink,weddingcake
pink,size,color31,red,bucket
blue,size,size41,red,toothbrush
blue,size,size33,orange,cap
purple,size,color32,orange,billiardball
yellow,size,size32,orange,napkin
red,size,size43,purple,yarn
pink,size,color43,white,phone
blue,size,color42,black,comb
purple,size,size42,green,rock
white,size,size22,yellow,shoe
green,size,color22,blue,guitar
pink,size,color31,purple,hairdryer
purple,size,size44,green,rock
blue,size,size31,green,binder
yellow,size,color42,orange,napkin
black,size,size33,brown,turtle
purple,size,size32,red,bike
blue,size,color42,black,book
blue,size,size43,red,tack
