nameClickedObj,condition,DistractorCombo
gummybears,distr33,ivy wardrobe
minivan,distr33,cow ivy
minivan,distr33,ivy lamp
coffeetable,distr33,dress kitten
coffeetable,distr33,kitten motorcycle
hawaiishirt,distr33,ivy kitten
goldfish,distr33,ambulance lamp
eagle,distr33,bathrobe lamp
suv,distr33,elephant lobster
hawaiishirt,distr33,chick lobster
grizzlybear,distr33,chips motorcycle
swordfish,distr33,cookies motorcycle
eagle,distr33,motorcycle socks
poloshirt,distr33,firetruck pig
daisy,distr33,bison popcorn
pigeon,distr33,popcorn popcorn
blackbear,distr33,popcorn wardrobe
polarbear,distr33,bathrobe pottedPlant
convertible,distr33,chick pottedPlant
picnictable,distr33,grasses pottedPlant
clownfish,distr33,bathrobe pretzels
parrot,distr33,lamp pretzels
dalmatian,distr33,pretzels pretzels
grizzlybear,distr33,lamp pretzels
picnictable,distr33,firetruck pretzels
coffeetable,distr33,lion pretzels
coffeetable,distr33,gloves rabbit
sportscar,distr33,lamp rabbit
coffeetable,distr33,bison rhino
skittles,distr33,rhino rosemary
convertible,distr33,elephant rhino
mnms,distr33,rabbit rhino
pigeon,distr33,grasses rosemary
hawaiishirt,distr33,horse rosemary
picnictable,distr33,motorcycle rosemary
dalmatian,distr33,chips rosemary
blackbear,distr33,firetruck rosemary
hawaiishirt,distr33,bison sheep
suv,distr33,bathrobe sheep
sunflower,distr33,sheep train
mnms,distr33,sheep snake
diningtable,distr33,snake socks
germanshepherd,distr33,firetruck socks
husky,distr33,motorcycle socks
sunflower,distr33,rabbit socks
daisy,distr33,bison squirrel
sportscar,distr33,chips squirrel
coffeetable,distr33,bison train
hawaiishirt,distr33,firetruck train
blackbear,distr33,grasses train
pandabear,distr33,lamp train
goldfish,distr33,lamp wardrobe
polarbear,distr33,firetruck wardrobe
catfish,distr33,pottedPlant wardrobe
